system:index,MNDWI,True_Class,.geo
00000000000000000087_0,0.7880435,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.72078818177516,19.103348253264713]}"
00000000000000000088_0,0.4155598,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.80334335638574,19.395300720603558]}"
00000000000000000089_0,0.7174281,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75672079313995,19.13263333152701]}"
0000000000000000008a_0,0.27199754,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.85311002312596,19.391348133353432]}"
0000000000000000008d_0,0.44642043,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7923839099195,19.148084354413868]}"
0000000000000000008e_0,0.7045177,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75312753200346,19.10038381282712]}"
0000000000000000008f_0,0.60544217,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.8293046680968,19.235939589200754]}"
00000000000000000090_0,0.11463527,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.82472326014779,19.345534053863336]}"
00000000000000000091_0,0.64451313,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.83397590757421,19.235490431558695]}"
00000000000000000092_0,0.50753766,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.90691910864473,19.269446749298414]}"
00000000000000000093_0,0.71058315,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.73264594352554,19.188598373727658]}"
00000000000000000094_0,0.6108422,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75510382562852,19.09867701378729]}"
00000000000000000096_0,0.7943396,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7323764489403,19.093107459025752]}"
00000000000000000098_0,0.5055118,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.77037518545856,19.086280262866442]}"
0000000000000000009a_0,0.4525862,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.86227283902399,19.291994462929814]}"
0000000000000000009b_0,0.6949942,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.82265713499432,19.226237784132266]}"
0000000000000000009d_0,0.12280701,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.8075654382211,19.366464799983323]}"
0000000000000000009e_0,0.7030303,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.76193102178783,19.105324546889776]}"
000000000000000000a1_0,0.49875107,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.82220797735225,19.419106075632726]}"
000000000000000000a2_0,0.21072793,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74692915654303,19.264865341349402]}"
000000000000000000a5_0,0.22359395,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.77980749594181,19.319123584510223]}"
000000000000000000a7_0,0.47725162,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.79355171978884,19.147455533714982]}"
000000000000000000a8_0,0.8052498,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.72923234544588,19.050347651501664]}"
000000000000000000a9_0,0.30108422,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74674949348622,19.258936460474214]}"
000000000000000000aa_0,0.4022617,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.82885551045474,19.2325259911211]}"
000000000000000000ac_0,0.8139145,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.72456110596846,19.109905954838787]}"
000000000000000000ad_0,0.7737003,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75501399410011,19.09625156252017]}"
000000000000000000ae_0,0.10593898,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7038100229053,19.07612930015589]}"
000000000000000000b0_0,0.8064516,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7427969062361,19.09535324723605]}"
000000000000000000b1_0,0.7750258,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75761910842407,19.105144883832953]}"
