TransectID,EPR_m_yr,NSM_m,LRR_m_yr,R2,SCE_m,p_value
400,-4.2316,9.455,-4.2316,0.0035,690.2125,0.8557
401,5.1601,537.1226,5.1601,0.0053,566.9628,0.864
402,8.0494,79.5734,8.0494,0.0117,626.6429,0.7515
403,-0.9919,75.6495,-0.9919,0.0017,255.3174,0.9002
404,14.7134,18.9126,14.7134,0.043,661.9387,0.5177
405,-12.1117,9.4564,-12.1117,0.0322,624.1206,0.62
406,0.0,0.0,0.0,,0.0,
407,28.6003,690.3082,28.6003,0.2047,690.3082,0.1397
408,0.939,59.6801,0.939,0.0185,59.6801,0.6735
409,27.7197,387.9228,27.7197,0.3787,407.8162,0.0439
410,15.3037,258.615,15.3037,0.1554,417.7626,0.2302
411,40.9181,538.8704,40.9181,0.4266,538.8704,0.0293
412,28.2092,472.6954,28.2092,0.2111,472.6954,0.1551
413,32.963,425.4298,32.963,0.3779,425.4298,0.0441
414,12.9252,238.7214,12.9252,0.2624,268.5616,0.1072
415,24.8668,179.0412,24.8668,0.1582,895.2054,0.2258
416,2.1238,18.9083,2.1238,0.0011,482.1631,0.9271
417,10.2816,151.2688,10.2816,0.1831,255.2657,0.2505
418,13.1072,103.998,13.1072,0.0649,444.3556,0.5425
419,31.6422,338.1893,31.6422,0.7644,338.1893,0.0009
420,25.7498,248.6687,25.7498,0.5456,288.4557,0.0147
421,27.6091,491.6202,27.6091,0.2244,501.0745,0.1667
422,23.9267,274.1716,23.9267,0.4299,434.8938,0.0396
423,-18.5144,28.3624,-18.5144,0.1072,482.1626,0.3557
424,32.2329,311.9845,32.2329,0.5203,444.3426,0.0185
425,1.0475,9.454,1.0475,0.0001,822.5002,0.9764
426,43.6862,805.6865,43.6862,0.2628,805.6865,0.1069
427,1.9601,447.604,1.9601,0.0014,447.604,0.9123
428,23.4427,425.4301,23.4427,0.377,425.4301,0.0445
429,-1.2207,29.8403,-1.2207,0.0013,328.2429,0.9148
430,-7.1683,47.2697,-7.1683,0.0125,482.1507,0.7588
431,13.0368,248.6685,13.0368,0.2005,278.5087,0.1673
432,5.7755,89.5207,5.7755,0.0274,407.8166,0.6264
433,-0.551,188.988,-0.551,0.0003,447.6032,0.9599
434,2.7402,179.3993,2.7402,0.0135,179.3993,0.7187
435,51.1725,443.7813,51.1725,0.6574,443.7813,0.0014
436,6.2398,254.9409,6.2398,0.0294,254.9409,0.5943
437,19.4766,9.947,19.4766,0.1667,447.6132,0.1876
438,3.6171,0.0,3.6171,0.0168,258.6213,0.6882
439,0.0,0.0,0.0,0.1002,0.0,0.3162
440,-29.1188,0.0,-29.1188,0.3427,396.5697,0.0455
441,-2.9215,0.0,-2.9215,0.0037,358.0907,0.8517
442,3.7043,12.6576,3.7043,0.1074,150.9866,0.2984
443,-13.9648,0.0,-13.9648,0.2592,254.9315,0.0909
444,10.6078,129.3103,10.6078,0.5132,129.3103,0.0088
445,1.7828,18.884,1.7828,0.437,18.884,0.0193
446,13.1595,170.2135,13.1595,0.0975,482.2725,0.323
447,30.5237,437.6556,30.5237,0.3313,437.6556,0.0639
